,country_id,year,export_value
0,4,2021,782.448395
1,4,2022,1102.544617
2,4,2018,689.419286
3,4,2020,583.941457
4,4,2017,484.249819
5,4,2016,424.943029
6,4,2019,657.567317
7,4,2020,527.128022
8,4,2018,780.415406
9,4,2022,1175.962328
10,4,2021,945.190579
11,4,2019,730.699821
12,4,2016,524.757934
13,4,2017,578.748001
14,4,2021,860.588861
15,4,2022,972.299032
16,4,2020,652.440639
17,4,2017,593.212226
18,4,2016,483.767628
19,4,2019,663.353271
20,4,2018,675.217061
21,4,2020,742.790116
22,4,2022,1058.252705
23,4,2021,970.815099
24,4,2018,724.818816
25,4,2019,664.141533
26,4,2016,525.57319
27,4,2017,636.263503
28,5,2020,6782.346714
29,5,2021,7721.680248
30,5,2022,13192.04642
31,5,2017,8938.0
32,5,2016,6127.957512
33,5,2019,9409.714416
34,5,2018,10019.62
35,5,2022,16571.458147
36,5,2021,9550.867813
37,5,2020,4321.48655
38,5,2018,10256.951429
39,5,2019,8512.892068
40,5,2016,7293.838115
41,5,2017,9015.0
42,5,2021,9906.837091
43,5,2020,5135.705636
44,5,2022,15515.983814
45,5,2017,7744.0
46,5,2016,7518.513023
47,5,2019,8335.030308
48,5,2018,9735.428571
49,5,2022,15809.975866
50,5,2020,5685.735271
51,5,2021,11378.880885
52,5,2018,11785.0
53,5,2019,9054.621424
54,5,2016,9085.69135
55,5,2017,9494.0
56,12,2021,15407.0
57,12,2022,19354.0
58,12,2018,14531.0
59,12,2020,13340.0
60,12,2016,12443.0
61,12,2019,14170.0
62,12,2017,12755.0
63,12,2020,14213.0
64,12,2018,15512.0
65,12,2022,25024.0
66,12,2021,19966.0
67,12,2017,15518.0
68,12,2019,16620.0
69,12,2016,15428.0
70,12,2021,22921.0
71,12,2022,22864.0
72,12,2018,15654.0
73,12,2020,14613.0
74,12,2016,15816.0
75,12,2017,15844.0
76,12,2019,17170.0
77,12,2020,12718.0
78,12,2018,16084.0
79,12,2021,19641.0
80,12,2022,21203.0
81,12,2019,17156.0
82,12,2017,14527.0
83,12,2016,14223.0
84,13,2020,553.9
85,13,2022,735.0
86,13,2021,576.6
87,13,2017,445.28634
88,13,2016,382.178341
89,13,2018,594.4
90,13,2019,543.8
91,13,2021,801.7
92,13,2022,1149.6
93,13,2020,562.7
94,13,2019,641.5
95,13,2018,585.6
96,13,2017,548.59623
97,13,2016,439.435272
98,13,2020,725.6
99,13,2021,770.7
100,13,2022,1637.6
101,13,2016,476.763721
102,13,2017,606.7
103,13,2018,590.2
104,13,2019,726.1
105,13,2022,1837.9
106,13,2021,873.5
107,13,2020,702.1
108,13,2019,728.9
109,13,2018,641.9
110,13,2017,644.8
111,13,2016,493.346346
112,15,2022,94911.620583
113,15,2021,77276.049911
114,15,2020,59912.930668
115,15,2016,40597.367565
116,15,2017,56556.638895
117,15,2018,61485.81863
118,15,2019,64236.926984
119,15,2020,59999.519447
120,15,2018,63698.867583
121,15,2021,88934.67888
122,15,2022,112460.83854
123,15,2019,70159.898832
124,15,2017,56140.050547
125,15,2016,45317.750282
126,15,2022,102900.302994
127,15,2021,89870.97382
128,15,2020,60909.37771
129,15,2016,48756.863143
130,15,2017,59670.517701
131,15,2018,64966.12096
132,15,2019,70061.209537
133,15,2020,70001.296529
134,15,2021,88782.794225
135,15,2022,101911.596312
136,15,2019,66546.959253
137,15,2018,66946.716832
