"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.64255490170431","7.68128870140705","7.83175060699786","7.02471979810017","7.12467433825358","9.48068054227213","9.18921805582327","6.49626049613728","6.29914031346818","6.67232979117589","6.80216058559619","7.91409226226226","10.2256423309475","10.8287790996744","11.4260611520956","12.6703727297187","12.1776918050999","10.7897033194847","7.78932600023425","6.18158617248261","4.3410155679169","3.90949406533703","",
"Afghanistan","AFG","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.134336001725","12.6897579454611","10.3603817107467","11.9484046164291","11.1654087876017","9.86038937465642","9.35459613289025","8.30276004557373","4.696372864714","4.31176435442433","5.10979266008033","3.83314218682084","3.6802510519657","3.65259208973618","3.72485527466578","4.27573619654266","4.97282537449934","","",
"Africa Western and Central","AFW","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.54043096521297","5.92921314234015","5.92362256052791","6.58279464885459","6.68657210365213","5.43002692741863","4.63190740875857","4.66716720232044","3.6608756387783","4.78216781232608","4.86905980233669","4.53877938784423","4.25662850364573","4.40095455599289","4.51475329868417","4.33715668532816","4.69058486365971","5.77438136897632","5.99031457545399","5.93730557536025","5.87190909620533","6.11209069856194","6.75660811791384","",
"Angola","AGO","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.0329203539823","13.8754641909814","6.23386766076421","27.3755173365217","12.8833216075983","10.7886306722638","9.19173249002421","10.934564719985","11.647001444409","13.9189386804869","12.2908861158394","8.16725533071883","6.78449029078347","10.4641587891309","10.6044905350185","8.70454255544237","8.69862287926","12.0250725449374","12.8877429712969","11.4798495273084","12.3999600882007","10.4140772790419","9.50392169689592","8.52361744119801","7.46236441698328","6.77582009681349","",
"Albania","ALB","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.42469942524728","3.58251376938142","3.57882714586864","3.84384065661926","4.14741288966839","4.26975280105134","4.61292952593064","4.66321103763279","4.73437520175261","5.42898862467715","6.22608105672699","6.25619786501779","4.64272721436367","5.30374152460951","5.28386450211732","5.26790009594914","4.82648553602103","4.24378498276555","3.77889251316413","3.78723434007733","3.80518109954003","4.02942680104453","4.45765862935157","3.79523306941549","4.18588825092418","",
"Andorra","AND","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.7858728807064","24.4728715098309","24.5664620838133","24.1441487471144","22.9163200737891","21.4320919406901","22.635476594439","27.1307076241805","23.4282131705399","21.9024530575171","21.5311423092424","19.6560849890276","19.2851893766642","18.2271464896405","18.3789288846589","18.2823279251189","17.4854493255176","15.8942750821086","15.7543223917961","15.5992129446097","14.8391886222692","15.1002873009727","16.8178164309383","17.5771797218796","21.9358397495258","18.2870407500351","21.2757119240652","18.6519946448179","16.9181613003162","17.2082842104493","16.3546565678368","",
"United Arab Emirates","ARE","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.1598216381131","20.6072477962782","20.6520006376534","26.1858822672831","22.2450898453824","22.8546521764398","23.4029772501392","26.042587718842","23.2249044823855","20.6432633849774","18.5816629191982","16.7108388253614","15.5930955120829","18.7415637308207","17.5485140622275","17.4275928988533","19.9148885242204","17.0387678455648","","","","","","","","",
"Argentina","ARG","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.77980075575404","5.68143952015995","5.76284549024364","4.89338277900104","4.51496876436704","4.39388451986755","4.28520119391155","4.06980367715799","4.00710246949338","4.46885679494062","4.30795156255064","3.83548156104547","3.46831777802766","2.96142744686434","2.68200390095939","2.47951410684899","2.56776861997814","2.44282162946179","2.18981461392914","2.13143597816161","2.22784898599116","2.26006388591143","2.05512180882873","1.94895474840026","2.06158761632168","1.88014181470374","1.83507314813373","1.72682951709817","","",
